msg_id,guild,channel,author,is_bot,msg_type,created_at_vn,reply_to,mentions_bot,n_attachments,n_chars,content,_intent_tags,_is_question
M83711,K4-L2-3,channel_02,D1224,False,message,2026-09-12 13:55,,False,0,51,anh [@D3694]  cho e hỏi vlearn chưa up bài mới hả ?,uncertain,True
M68891,K4-L2-3,channel_02,D3694,False,message,2026-09-12 14:16,,False,0,30,[@D7688]  cái này hỏi [HV] nhé,uncertain,False
M81490,K4-L2-3,channel_02,D7688,False,reply,2026-09-12 14:19,M83711,False,0,79,"bạn hỏi labcoach tại phòng nhé, vì slide/bài học thì giảng viên từng buổi sẽ up",academic,False
M96607,K4-L2-3,channel_02,D6604,False,reply,2026-09-12 17:11,M83711,False,0,25,bài mới buổi 2 up rồi nhé,uncertain,False
M49744,K4-L2-3,channel_03,D9617,False,message,2026-09-12 18:02,,False,0,1238,"THÔNG BÁO HOÀN THIỆN CÁC BƯỚC ONBOARDING VÀO CHƯƠNG TRÌNH

Chào mừng các bạn đã đến với Chương trình AI20K - Build Phase Cohort 4A. Để hoàn tất quá trình onboarding và bắt đầu chặng đường 6 tuần tới, BTC thông tin đến các bạn học viên hoàn thiện hồ sơ và lập đội bắt đầu thực chiến.

Các bạn học viên đăng nhập vào nền tảng Phoenix bằng link mời dưới đây và **Tiếp tục với Github** cùng email đã đăng ký với chương trình.

> Link tham gia chương trình (link cập nhật mới nhất):
> https://phoenix.note.transformerlabs.ai/invite/qYw_GaXnbiPxczQy5cNkMEPNuRrlYjSy_rQgOeiLfRI

**Hoàn thành đủ các bước:**
1. Vào nền tảng bằng lời mời
2. Xác minh danh tính
3. Kết nối và xác minh Discord
4. Hoàn tất hồ sơ năng lực
5. Lập đội / tham gia đội

🗓️ **Thời hạn hoàn thành và ghép đội tự do đến 21:00 13/9**
Sau thời gian trên hệ thống sẽ tự động ghép đội ngẫu nhiên.

*Lưu ý:* Trường hợp tài khoản Github đang liên kết với nhiều email, hãy cài đặt email đăng ký với chương trình thành `Primary` tại https://github.com/settings/emails trước khi truy cập vào link mời.

Mọi vấn đề thắc mắc trong quá trình onboarding các bạn vui lòng tạo ticket để được hỗ trợ.
> Cách thức tạo ticket: gõ command `/ticket create` tại kênh [link:discord.com]

@everyone",logistics;academic;mixed,False
M01844,K4-L2-3,channel_02,D2313,False,message,2026-09-12 18:07,,False,0,91,mới có thông báo lập team trên phoenix nhưng cho em hỏi là lv2 có cần phải lập team không ạ,logistics,True
M79538,K4-L2-3,channel_02,D9617,False,reply,2026-09-12 18:07,M01844,False,0,32,Thông báo dành cho các bạn L2 đó,uncertain,False
M15866,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 18:09,M01844,False,0,80,Nhóm này là dành cho các bạn mờ tất nhiên là thông báo cho toàn bộ mọi người rồi,logistics,False
M32482,K4-L2-3,channel_02,D3694,False,message,2026-09-12 18:10,,False,0,52,Kiếm đồng đội để cùng vượt qua 6 tuần Build nhéeeeee,uncertain,False
M31002,K4-L2-3,channel_02,D3694,False,message,2026-09-12 18:18,,False,0,110,Các bạn lưu ý là vào lại đúng link mời mới theo thông báo nhé [link:discord.com] để hệ thống tự nhận diện nha.,logistics,False
M11422,K4-L2-3,channel_02,D2313,False,message,2026-09-12 18:19,,False,0,221,dạ em vẫn chưa biết là lv2 có build và sẽ build cái gì có giống như lv3 để lập team cho hợp lý ấy ạ. Với ngày đầu tiên em nghe mấy anh giảng viên bảo là lv2 chỉ học 3 tuần rồi bắt đầu thực chiến tại doanh nghiệp luôn ấy ạ,logistics,False
M41884,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 18:21,M11422,False,0,115,Mình sẽ đi từng giai đoạn trước tiên là lập team và sẽ có hướng dẫn cũng như chia sẻ vào buổi wokshop ngày mai nhé.,logistics,False
M12580,K4-L2-3,channel_02,D7870,False,message,2026-09-12 18:22,,False,0,65,Nhưng mà bọn e vẫn chưa vào đc phoenix thì lập nhóm như thế nào ạ,logistics,False
M18708,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 18:22,M12580,False,0,87,"Đọc lại thông tin nhé [HV], thông báo là hướng dẫn các bạn hoàn thành quy trình onboard",uncertain,False
M66649,K4-L2-3,channel_02,D7870,False,reply,2026-09-12 18:22,M18708,False,0,9,Dạ vâng ạ,uncertain,False
M81468,K4-L2-3,channel_02,D8884,False,message,2026-09-12 18:22,,False,0,14,vào đc rồi bạn,uncertain,False
M14245,K4-L2-3,channel_02,D3694,False,message,2026-09-12 18:23,,False,0,50,Nhớ  bấm join bằng đúng link trong thông báo nhé .,logistics,False
M35849,K4-L2-3,channel_02,D3694,False,message,2026-09-12 18:24,,False,0,78,Và hẹn các bạn sáng mai chúng ta sẽ có buổi Wokrshop kick-off đầu với BTC nhé.,greeting,False
M23596,K4-L2-3,channel_02,D9148,False,message,2026-09-12 18:25,,False,0,80,theo em hiểu có deliverables bắt buộc là btc ra đề bài rồi các nhóm thực hiện ạ?,logistics,True
M11898,K4-L2-3,channel_02,D3694,False,message,2026-09-12 18:30,,False,0,53,Cụ thể thì sáng mai các bạn nhớ tham gia workshop nhé,uncertain,False
M23716,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 18:30,M23596,False,0,474,"Đề bài sẽ do các bạn chọn nhé, Chúng ta cơ bản sẽ đi từ : Thực hành  / làm việc để nắm quy trình  -> Trong quá trình thực hành và làm việc các bạn cũng sẽ phát hiện các vấn đề  -> Đề xuất cải tiến quy trình  giúp tiết kiệm thời gian hơn, tăng độ chính xác hơn, giảm thao tác manual hơn ... cũng sẽ rất nhiều bài toán cho các bạn phát triển. Với tinh thần là làm với tâm thế của 1 AI engineer, 1 model engineer, 1 automation engineer,…. như thầy có chia sẻ hôm trước nha [HV]",uncertain,False
M49963,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 18:37,M23787,False,0,145,"Cái này mình lại không có thông tin hỗ trợ được [HV] nhé, do thuộc phạm vi trên trường rồi. [@D7688]  Nếu có thông tin nhờ em cho bạn suggest nhé",uncertain,False
M37634,K4-L2-3,channel_02,D7688,False,reply,2026-09-12 18:47,M23787,False,0,69,"gửi mail là được [HV] nhá, mail có trình bày lý do, bằng chứng đầy đủ",uncertain,False
M83358,K4-L2-3,channel_02,D1224,False,message,2026-09-12 18:55,,False,0,37,cho mình hỏi một team bao nhiêu bạn ?,logistics,True
M99769,K4-L2-3,channel_02,D1224,False,message,2026-09-12 18:57,,False,0,40,[@D7688]  cho mình hỏi một team mấy bạn?,logistics,True
M36494,K4-L2-3,channel_02,D1224,False,reply,2026-09-12 19:01,M43101,False,0,13,ok cảm ơn bạn,greeting,False
M43101,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 19:01,M83358,False,0,58,"5 nhé , trên web vào sẽ thấy có 5 slot ở phần lập đôi thôi",uncertain,False
M20982,K4-L2-3,channel_02,D2313,False,message,2026-09-12 19:07,,False,0,147,điền hồ sơ năng lực trên phoenix mà kỹ năng vừa ít vừa thành thạo không cao thì có sao không ạ. Có khả năng bị xem xét kết thúc đào tạo sớm không ạ,uncertain,False
M09813,K4-L2-3,channel_02,D9148,False,message,2026-09-12 19:08,,False,0,30,còn lại prj đầu ra thế nào chứ,uncertain,False
M47322,K4-L2-3,channel_02,D9148,False,message,2026-09-12 19:08,,False,0,26,cái này build nhóm thôi mà,logistics,False
M65820,K4-L2-3,channel_02,D2313,False,message,2026-09-12 19:09,,False,0,35,dạ em cảm ơn anh [HV] đã giải đáp ạ,greeting,False
M85321,K4-L2-3,channel_02,D3694,False,message,2026-09-12 19:09,,False,0,27,Không cần Over quá đâuu nha,uncertain,False
M92726,K4-L2-3,channel_02,D3694,False,message,2026-09-12 19:09,,False,0,178,"Cái này chỉ là thông tin để các bạn muốn ghép team thì có thông tin để dễ match thôi nhé, sau đó BTC cũng sẽ dựa vào thông tin này để random cho phù hợp với các bạn chưa có team.",logistics,False
M13014,K4-L2-3,channel_02,D1085,False,message,2026-09-12 19:16,,False,0,47,"Em hỏi với ạ, khác lớp lab có chung team đc k ạ",logistics;academic;mixed,False
M38381,K4-L2-3,channel_02,D0842,False,message,2026-09-12 19:22,,False,0,28,thế khác level cũng được à a,uncertain,False
M75621,K4-L2-3,channel_02,D7688,False,reply,2026-09-12 19:22,M13014,False,0,31,trong cùng khoá là được [HV] nè,uncertain,False
M93314,K4-L2-3,channel_02,D1085,False,message,2026-09-12 19:22,,False,0,19,"Vâng ạ, em cảm ơn ạ",greeting,False
M00554,K4-L2-3,channel_02,D0842,False,reply,2026-09-12 19:26,M75621,False,0,52,a ơi cho em hỏi là khác level có chung team được k ạ,logistics,True
M26380,K4-L2-3,channel_02,D1224,False,reply,2026-09-12 19:26,M38381,False,0,17,không được mà cậu,uncertain,False
M54957,K4-L2-3,channel_02,D9148,False,message,2026-09-12 19:26,,False,0,54,"lv2-3, mình có đăng trên phoenix và thread discord nhé",uncertain,False
M83310,K4-L2-3,channel_02,D9148,False,message,2026-09-12 19:26,,False,0,40,team zero-one của mình đang tìm đồng đội,logistics_personal;logistics,False
M37431,K4-L2-3,channel_02,D0842,False,reply,2026-09-12 19:27,M26380,False,0,73,thấy a ý bảo cùng khoá là được ý nên tôi hỏi lại cho chắc biết đâu có thể,uncertain,False
M02964,K4-L2-3,channel_02,D7688,False,message,2026-09-12 19:28,,False,0,30,sip [HV] confirm e với nha ;-;,uncertain,False
M11538,K4-L2-3,channel_02,D7688,False,message,2026-09-12 19:28,,False,0,19,chung level thôi nè,uncertain,False
M23074,K4-L2-3,channel_02,D7688,False,reply,2026-09-12 19:28,M00554,False,0,7,ko nhaa,uncertain,False
M31502,K4-L2-3,channel_02,D3694,False,message,2026-09-12 19:29,,False,0,15,Cùng 1 level ấy,uncertain,False
M61093,K4-L2-3,channel_02,D0842,False,message,2026-09-12 19:29,,False,0,18,e cảm ơn các sếp ạ,greeting,False
M30246,K4-L2-3,channel_02,D1253,False,reply,2026-09-12 19:51,M37634,False,0,103,"Tại e thấy trong sổ tay phải có xác nhận của giám đốc, nên là k biết e có phải chờ mail phản hồi k ạ???",uncertain,True
M90166,K4-L2-3,channel_02,D3154,False,message,2026-09-12 20:41,,False,0,63,cho em hỏi level 2-3 build phase là bắt buộc hay optional vậy ạ,uncertain,False
M13316,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 21:32,M90166,False,0,107,bắt buột không phải option nhé. Các bạn vừa học trên trường vừa tham gia Build phase ban đêm với mentor nhé,uncertain,False
M15562,K4-L2-3,channel_02,D0842,False,message,2026-09-12 21:32,,False,0,122,dạ cho em hỏi là e thấy level 2 nhiều bạn nontech thì liệu có được bắt tay giữa 2 team để làm 1 project hoàn chỉnh không ạ,logistics,True
M40821,K4-L2-3,channel_02,D9148,False,message,2026-09-12 21:33,,False,0,18,hoặc kết hợp qa qc,uncertain,False
M90319,K4-L2-3,channel_02,D9148,False,message,2026-09-12 21:33,,False,0,73,non-tech thì mình nghĩ nên bảo các bạn ấy vừa vibe code vừa đọc hiểu code,academic,False
M45489,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 21:34,M15562,False,0,391,"Các bạn có thể tìm cho mình những người đồng đội phụ hợp trong chương trình mà , mình chưa hiểu giữa 2 team này là phạm trù nào ? vì đã chia team thì các bạn sẽ work với team của mình ấy.  1 team đến 5 TV nên mình nghĩ các bạn nên chọn đa dạng để bổ sung cho nhau nhé. Với suy nghĩ cá nhân của mình thì với sự hỗ trợ của AI hiện tại non-tech hay không thì cũng không phải rào cản quá lớn đâu",logistics_personal;logistics,True
M59772,K4-L2-3,channel_02,D9148,False,reply,2026-09-12 21:37,M45489,False,0,77,nếu discord không đủ chỗ thì nhóm em xin thêm new post trong thread được ko ạ,logistics,False
M83398,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 21:39,M59772,False,0,40,đủ chỗ ở đây hiểu như thế nào [HV] nhỉ ?,uncertain,True
M24607,K4-L2-3,channel_02,D9148,False,message,2026-09-12 21:40,,False,0,63,ý là sau khi làm project thì khối lượng tin nhắn nhiều lên ấy ạ,greeting,False
M79405,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 21:40,M24607,False,0,108,"Trong discord sau khi các bạn tạo team sẽ có 1 thread cho các bạn ấy, các bạn muốn mở thêm có thể ping admin",logistics,False
M42075,K4-L2-3,channel_02,D1224,False,reply,2026-09-12 21:43,M57505,False,0,11,1.5h-2h bro,uncertain,False
M57505,K4-L2-3,channel_02,D3292,False,message,2026-09-12 21:43,,False,0,123,Cho em hỏi workshop ngày mai thời lượng diễn ra trong bao lâu vậy ạ? Em muốn biết để tiện sắp xếp một số công việc cá nhân.,uncertain,True
M62614,K4-L2-3,channel_02,D9463,False,reply,2026-09-12 21:47,M13316,False,0,45,build trong 15 ngày hay cả sang phase 2 nữa ạ,uncertain,False
M95970,K4-L2-3,channel_02,D9148,False,reply,2026-09-12 21:48,M62614,False,0,10,6 tuần bro,uncertain,False
M14305,K4-L2-3,channel_02,D6134,False,message,2026-09-12 21:50,,False,1,54,Cho hỏi đạo hữu này là ai thí!!! đọc buồn cười quá =]],uncertain,True
M12763,K4-L2-3,channel_02,D9463,False,reply,2026-09-12 21:51,M95970,False,0,95,tôi tưởng level 2 ko có build phase mà vào ojt vf luôn hay mới thêm build phase cho level 2 thế,uncertain,False
M16545,K4-L2-3,channel_02,D9148,False,message,2026-09-12 21:52,,False,0,3,=)),uncertain,False
M53038,K4-L2-3,channel_02,D9148,False,message,2026-09-12 21:52,,False,0,39,hôm nay cái channel [#channel] mới nháy,uncertain,False
M67317,K4-L2-3,channel_02,D3389,False,message,2026-09-12 21:54,,False,0,37,2b vs 2a vẫn join chung được luôn ạ ?,uncertain,True
M89580,K4-L2-3,channel_02,D9148,False,message,2026-09-12 21:54,,False,0,57,same level với same khóa vẫn join được đúng ko ạ [@D3694],uncertain,False
M67785,K4-L2-3,channel_02,D3389,False,reply,2026-09-12 21:55,M89580,False,0,58,ông thấy team mình có nhiều người trùng bg quá ko ông :))),logistics,False
M07458,K4-L2-3,channel_02,D9148,False,message,2026-09-12 21:56,,False,0,36,5 ông bg tech cũng có cái hay cái dở,uncertain,False
M81573,K4-L2-3,channel_02,D9148,False,message,2026-09-12 21:56,,False,0,27,trùng thì phân role ra thôi,uncertain,False
M87025,K4-L2-3,channel_02,D9148,False,message,2026-09-12 21:56,,False,0,3,:)),uncertain,False
M00269,K4-L2-3,channel_02,D3154,False,message,2026-09-12 22:21,,False,0,53,"6 tuần à, mình thấy ngày 15 là đã qua bên VinFast rồi",uncertain,False
M52024,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 22:21,M62614,False,0,10,6 tuần nhé,uncertain,False
M54235,K4-L2-3,channel_02,D3154,False,message,2026-09-12 22:21,,False,0,61,nghĩa là vừa làm bên VinFast tối vẫn build phase đúng không ạ,uncertain,False
M52002,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 22:22,M12763,False,0,38,"Vẫn Build nhé , Buld mạnh là đằng khác",uncertain,False
M99639,K4-L2-3,channel_02,D3154,False,message,2026-09-12 22:22,,False,0,79,Anh [HV] có thể chia sẻ thêm cho tụi em về những yêu cầu gì cho level 2 không ạ,uncertain,False
M24912,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 22:23,M89580,False,0,137,"Đúng rồi , L2-L3 cohort này đều có thể ghép team chung với nhau  nhưng nên ưu tiên ghép chung lớp học gì trên trường ấy cho dễ ngồi chung",logistics,False
M50728,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 22:23,M99639,False,0,207,"Mai có thầy thì sẽ chi tiết và rõ hơn nhé [HV], nên nghe các thông tin chính thống thì mới xác thực được nhé. như mình chỉ phụ trách build phase thì các thông tin của mình chỉ giới hạn trong phạm vi này thôi",logistics_personal;greeting,False
M48056,K4-L2-3,channel_02,D3694,False,message,2026-09-12 22:26,,False,0,298,"Mình cung hiểu là các bạn cũng nhiều câu hỏi và thắc mắc vì dù sao cũng chưa có tiền bối đi trước để tham khảo , mai các bạn có thể đặt câu hỏi với thầy và BTC để được giải đáp nè, nhưng theo cá nhân mình thì rủi ro đi kèm với cơ hội nhé. Cái nào mà nó rõ ràng và an toàn quá thì cũng ít cơ hội hơn",uncertain,False
M74479,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 22:34,M07458,False,0,86,Làm nhóm cũng nhiều cái vui và đút kết kinh nghiệm. Có nhiều team cũng tan rã nhanh đó,logistics,False
M73509,K4-L2-3,channel_02,D2407,False,reply,2026-09-12 22:36,M74479,False,0,50,a ơi nếu trong nhóm có 1 hay 2 người out thì sao ạ,logistics,False
M29762,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 22:37,M73509,False,0,165,"Case này tụi mình cũng gặp nhiều rồi , nếu còn bạn nào cần ghép thì tụi mình ghép bổ sung vào còn không thì cứ đúng giờ xe chạy thôi, dù cho xe có đủ hay thiếu người",uncertain,False
M60248,K4-L2-3,channel_02,D2407,False,message,2026-09-12 22:38,,False,0,35,có trường hợp nào solo leveling k a,uncertain,False
M64792,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 22:38,M60248,False,0,37,Từ khoá 2 trở đi là hầu như không có.,uncertain,False
M36353,K4-L2-3,channel_02,D9148,False,reply,2026-09-12 22:41,M74479,False,0,33,em sợ đứt scope giữa đường thôi ạ,uncertain,False
M99053,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 22:45,M36353,False,0,173,"Vậy thì muốn thắng trận này, đồng đội là yếu tố cần chọn lựa đấy. Phải hợp tính cách mới dễ làm việc, trong case không hợp tính cách thì sẽ cần minh bạch rõ ràng ngay từ đầu",uncertain,False
M65466,K4-L2-3,channel_02,D2407,False,reply,2026-09-12 22:46,M99053,False,0,80,có thể lùi lại thời gian chốt team k a tại e thấy có 1 buổi tiếp xúc là hơi ít ạ,logistics,False
M54778,K4-L2-3,channel_02,D6569,False,message,2026-09-12 22:47,,False,0,155,em tò mò 1 chút là với những team chưa đủ người thì hệ thống bên phoenix qua thời gian 21h có tự xếp các bạn chưa có nhóm vào nhóm đang thiếu người không ạ,logistics,False
M82848,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 22:50,M65466,False,0,38,Mai các bạn có thể raise luôn nhé [HV],uncertain,False
M89395,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 22:51,M54778,False,0,66,"Hệ thống sẽ xép chứ, tất cả đều phải có team thì mới work được nha",logistics,False
M81676,K4-L2-3,channel_02,D6569,False,message,2026-09-12 22:52,,False,0,84,à ý em là hệ thống ghép các bạn đó vào team đang thiếu luôn hay ghép 1 team mới ấy ạ,logistics,False
M74381,K4-L2-3,channel_02,D3694,False,message,2026-09-12 22:53,,False,0,75,Sẽ ghép đủ 5 thành viên / 1 team nhé nó sẽ fill cho đến team cuối cùng thôi,logistics,False
M55809,K4-L2-3,channel_08,D3694,False,message,2026-09-12 23:00,,False,0,160,"Mình tạo topic này mong muốn các bạn chia sẻ các issuse gặp phải trong quá trình cài đặt phần mềm để học , giúp các bạn bị lỗi tương tự có thể co cách fix nhanh",academic,False
M51326,K4-L2-3,channel_08,D7105,False,message,2026-09-12 23:14,,False,2,39,em chạy tới bước 3 thì bị lỗi như này ạ,academic,False
M48859,K4-L2-3,channel_02,D1253,False,reply,2026-09-12 23:15,M37634,False,0,109,"A ơi, Tại e thấy trong sổ tay phải có xác nhận của giám đốc, nên là k biết e có phải chờ mail phản hồi k ạ???",uncertain,True
M84662,K4-L2-3,channel_02,D9288,False,message,2026-09-12 23:15,,False,0,60,Ac labcoach hỗ trợ em với cái phoenix của em mãi k vào đc ấy,academic,False
M00553,K4-L2-3,channel_02,D3389,False,message,2026-09-12 23:16,,False,0,85,"cho em hỏi tuần thứ 4 mình ojt, build 6 tuần vậy vừa obj fulltime vừa build phải ko ạ",uncertain,False
M54372,K4-L2-3,channel_02,D9288,False,message,2026-09-12 23:16,,False,0,57,Dù em đki đúng mail nhưng vẫn báo k trùng mail đki vs btc,uncertain,False
M78683,K4-L2-3,channel_02,D0485,False,reply,2026-09-12 23:16,M84662,False,0,17,bạn tạo ticket ấy,logistics,False
M28576,K4-L2-3,channel_02,D9617,False,reply,2026-09-12 23:19,M54372,False,0,64,vào đúng link trong thông báo nhé không phải link trong mail nha,logistics,False
M25574,K4-L2-3,channel_02,D9617,False,reply,2026-09-12 23:20,M71126,False,0,68,Ở đây nhé kênh thông báo quan trọng sẽ ở kênh này [link:discord.com],logistics,False
M71126,K4-L2-3,channel_02,D9288,False,reply,2026-09-12 23:20,M28576,False,0,23,Cái thông báo nào vậy ạ,uncertain,False
M78667,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 23:23,M00553,False,0,21,Mai hỏi luôn nhé [HV],uncertain,False
M64132,K4-L2-3,channel_02,D9288,False,reply,2026-09-12 23:30,M25574,False,0,22,Em zô đc r tks sốp nha,uncertain,False
M19124,K4-L2-3,channel_02,D9616,False,reply,2026-09-13 00:25,M78667,False,0,47,a ơi sao deadline ghép đội tự do end sớm vậy a?,logistics,True
M04816,K4-L2-3,channel_02,D3694,False,reply,2026-09-13 08:32,M19124,False,0,141,Time thì cũng sẽ limit không quá dài để theo đúng plan chương trình nè. Các bạn chưa tìm đc đồng đội BTC cũng hỗ trợ ghép nhé nên yên tâm nha,uncertain,False
M30080,K4-L2-3,channel_02,D3694,False,reply,2026-09-13 08:34,M15629,False,0,13,help [@D7593],uncertain,False
M32014,K4-L2-3,channel_02,D3694,False,message,2026-09-13 08:35,,False,0,67,Fact : Mình chỉ mới đến VinUni 1-2 lần à nên cũng mù các địa điểm 🥹,uncertain,False
M56285,K4-L2-3,channel_02,D1224,False,message,2026-09-13 08:35,,False,0,77,cũng muốn các anh labcoach dẫn đi tham quan khắp trường VinUni một lần hahaha,academic,False
M31445,K4-L2-3,channel_03,D3694,False,reply,2026-09-13 08:58,,False,0,59,"Các bạn đừng quên Lịch sáng nay nhé, zoom đã mở nha [@role]",logistics,False
M16982,K4-L2-3,channel_03,D4888,False,reply,2026-09-13 08:59,,False,0,175,"Các bạn vào để chúng ta bắt đầu đúng giò cho workshop đầu tiên. Hôm nay Q&A để các em clear về chương trình nhé. [@role] 
[link:zoom.us]

Meeting ID: [ID]
Passcode: [PASSCODE]",logistics;academic;mixed,False
M66492,K4-L2-3,channel_08,D7688,False,message,2026-09-13 10:08,,False,0,11,CC [@D6587],uncertain,False
M12802,K4-L2-3,channel_08,D6587,False,reply,2026-09-13 10:26,M51326,False,0,278,"chào bạn Ngay sau docker compose up -d, OPA chưa lấy được policy bundle từ cvat-server, nên health check báo:
500 ... http://opa:8181/health?bundles
Sau khoảng một phút, CVAT server hoàn tất migration; OPA tải bundle thành công và lần health check tiếp theo báo toàn bộ working.",greeting,True
